Variable:,tas
,Mauritius,"Administrative unit not available","Black River",Flacq,"Grand Port",Moka,Pamplemousses,"Plaines Wilhems","Port Louis","Riviere Du Rempart",Savanne
1901,22.64,24.14,22.31,22.70,22.70,22.67,22.70,22.45,22.55,22.70,22.42
1902,22.67,24.14,22.35,22.73,22.73,22.70,22.73,22.49,22.58,22.73,22.45
1903,22.65,24.14,22.33,22.71,22.71,22.68,22.71,22.47,22.56,22.71,22.43
1904,22.65,24.15,22.33,22.71,22.71,22.68,22.71,22.47,22.56,22.71,22.43
1905,22.67,24.14,22.36,22.72,22.72,22.69,22.72,22.49,22.58,22.72,22.45
1906,22.65,24.14,22.33,22.70,22.70,22.67,22.70,22.46,22.56,22.70,22.43
1907,22.65,24.14,22.33,22.70,22.70,22.67,22.70,22.46,22.56,22.70,22.43
1908,22.68,24.15,22.37,22.73,22.73,22.70,22.73,22.50,22.59,22.73,22.46
1909,22.65,24.14,22.33,22.71,22.71,22.68,22.71,22.47,22.56,22.71,22.43
1910,22.64,24.14,22.32,22.70,22.70,22.67,22.70,22.46,22.55,22.70,22.42
1911,22.65,24.14,22.32,22.71,22.71,22.68,22.71,22.46,22.56,22.71,22.42
1912,22.70,24.15,22.38,22.75,22.75,22.72,22.75,22.51,22.61,22.75,22.47
1913,22.67,24.14,22.33,22.73,22.73,22.70,22.73,22.47,22.58,22.73,22.44
1914,22.68,24.14,22.36,22.73,22.73,22.70,22.73,22.49,22.59,22.73,22.45
1915,22.66,24.14,22.34,22.71,22.71,22.68,22.71,22.47,22.57,22.71,22.44
1916,22.64,24.15,22.31,22.70,22.70,22.67,22.70,22.45,22.55,22.70,22.42
1917,22.63,24.14,22.29,22.69,22.69,22.66,22.69,22.43,22.54,22.69,22.40
1918,22.65,24.14,22.33,22.70,22.70,22.67,22.70,22.46,22.56,22.70,22.43
1919,22.66,24.14,22.34,22.72,22.72,22.69,22.72,22.48,22.57,22.72,22.44
1920,22.65,24.15,22.33,22.71,22.71,22.68,22.71,22.47,22.56,22.71,22.43
1921,22.65,24.14,22.31,22.71,22.71,22.68,22.71,22.45,22.56,22.71,22.42
1922,22.62,24.14,22.28,22.68,22.68,22.65,22.68,22.42,22.53,22.68,22.39
1923,22.68,24.14,22.38,22.73,22.73,22.70,22.73,22.50,22.60,22.73,22.46
1924,22.67,24.15,22.35,22.72,22.72,22.69,22.72,22.48,22.58,22.72,22.45
1925,22.68,24.14,22.36,22.73,22.73,22.70,22.73,22.49,22.59,22.73,22.45
1926,22.71,24.14,22.43,22.76,22.76,22.73,22.76,22.55,22.63,22.76,22.51
1927,22.67,24.14,22.35,22.73,22.73,22.70,22.73,22.49,22.58,22.73,22.45
1928,22.69,24.15,22.37,22.74,22.74,22.71,22.74,22.50,22.60,22.74,22.46
1929,22.69,24.14,22.37,22.75,22.75,22.72,22.75,22.51,22.60,22.75,22.47
1930,22.65,24.14,22.33,22.70,22.70,22.67,22.70,22.46,22.56,22.70,22.43
1931,22.62,24.14,22.27,22.68,22.68,22.65,22.68,22.42,22.52,22.68,22.39
1932,22.65,24.15,22.33,22.70,22.70,22.67,22.70,22.46,22.56,22.70,22.43
1933,22.64,24.14,22.31,22.70,22.70,22.67,22.70,22.45,22.55,22.70,22.42
1934,22.62,24.14,22.28,22.68,22.68,22.65,22.68,22.42,22.53,22.68,22.39
1935,22.65,24.14,22.33,22.70,22.70,22.67,22.70,22.46,22.56,22.70,22.43
1936,22.65,24.15,22.33,22.71,22.71,22.68,22.71,22.47,22.56,22.71,22.43
1937,22.65,24.14,22.33,22.71,22.71,22.68,22.71,22.47,22.56,22.71,22.43
1938,22.64,24.14,22.34,22.69,22.69,22.66,22.69,22.46,22.56,22.69,22.43
1939,22.65,24.14,22.33,22.71,22.71,22.68,22.71,22.47,22.56,22.71,22.43
1940,22.63,24.15,22.27,22.69,22.69,22.66,22.69,22.42,22.53,22.69,22.39
1941,22.64,24.14,22.34,22.69,22.69,22.66,22.69,22.46,22.56,22.69,22.43
1942,22.64,24.14,22.32,22.70,22.70,22.67,22.70,22.46,22.55,22.70,22.42
1943,22.62,24.14,22.28,22.68,22.68,22.65,22.68,22.42,22.53,22.68,22.39
1944,22.66,24.15,22.32,22.72,22.72,22.69,22.72,22.46,22.57,22.72,22.43
1945,22.66,24.14,22.33,22.72,22.72,22.69,22.72,22.47,22.57,22.72,22.43
1946,22.64,24.14,22.33,22.69,22.69,22.66,22.69,22.46,22.55,22.69,22.42
1947,22.65,24.14,22.34,22.70,22.70,22.67,22.70,22.47,22.56,22.70,22.43
1948,22.66,24.15,22.36,22.71,22.71,22.68,22.71,22.48,22.58,22.71,22.45
